id,episode_id,viewing_date,created_at,updated_at
d4c89d3d-2aa7-413a-b719-080cbee71332,47fd8252-a1fe-4de2-89bd-03e3201fb5bb,12/17/2011,12/17/2011,12/17/2011
9c390de6-bb0d-4990-8c0a-09e4c833685c,5ce19075-2df0-4f51-bff3-c689599185be,1/28/2012,2/3/2012,2/3/2012
9f8a0519-662f-4c19-9b52-0eb50c98cc0d,959d0eaa-4458-439a-92d7-86a3d8dd6c84,1/21/2012,1/28/2012,1/28/2012
10e18914-a631-4757-be5c-0eeb43e19e46,790a8836-5cd9-4fba-bddf-a674e558baa0,11/13/2011,11/13/2011,11/13/2011
ba940919-45ad-494f-9b7b-10b48413640d,e33d04da-b288-44c2-b1cd-bea4c5de02fb,1/1/2012,1/1/2012,1/1/2012
004ffb2f-da2f-48e0-b240-1cf5a96bb500,875cdc36-48ae-46a0-b798-05cbc06ea236,1/2/2012,1/2/2012,1/2/2012
2557e132-aabe-4978-b262-1ea114904519,e36a48ed-d373-4cff-89b6-ac9149a76a75,12/17/2011,12/17/2011,12/17/2011
e538b4da-223b-4e44-8369-1ec38a0d89b1,b2120057-356f-4ef3-9aa6-9af8eb0d8b17,12/5/2011,12/5/2011,12/5/2011
bb4e27cf-3b57-48e3-b890-1efa2e75b269,69dac872-4bad-4b76-a869-a72b3e98448b,11/20/2011,11/20/2011,11/20/2011
a95bb224-883a-4a03-ac36-1fc409c3198e,ecef91f8-2473-4826-9b47-e769548c5ca4,12/17/2011,12/17/2011,12/17/2011
3481718c-6364-4eec-b7e2-2300c3830179,0a5eeb17-5c29-4d9c-85f3-117c680c6819,2/2/2012,2/3/2012,2/3/2012
dfec9588-ad47-4562-84c2-24198bb9d611,3f57ec8a-784e-4439-9f0c-d1c77cee70c5,12/14/2011,12/17/2011,12/17/2011
bb466c74-2cc3-4ca5-ab33-260417583b4c,7f714f22-6fe6-48aa-bafd-a8c39ccfa95d,11/11/2011,11/13/2011,11/13/2011
35912c18-8c12-44ba-acdf-26397a5a761e,f1210774-216b-44fc-9694-ae9be022876d,11/13/2011,11/13/2011,11/13/2011
2a52808b-c7cb-40ee-a942-26bc49fd1f4d,91c2d3da-b517-4405-80e5-7df68d7af06b,1/3/2012,1/3/2012,1/3/2012
63dfde3e-f850-4370-a31b-2977b30a16cf,247333b1-7d29-4841-89b9-1cb7f754adab,11/15/2011,11/15/2011,11/15/2011
7e18952a-fbd9-426c-b456-2a0de9fc796e,1edc23c9-bd82-4fdf-b0d2-24310269520a,1/11/2012,1/13/2012,1/13/2012
af0c3f46-9c47-4dcb-a7d6-323eeda92f98,aafce2f2-5fcf-4f67-a8ca-ea6fe284c5ff,1/1/2012,1/1/2012,1/1/2012
f19cd5ae-c3e6-4809-a845-36e9ac68650b,500da090-ae13-423e-96c2-df627f0beead,12/9/2011,12/9/2011,12/9/2011
e5fd1203-4301-4af2-a403-38dd9ba3b20d,8e709813-6461-40fa-adce-75ea2a99bd36,1/21/2012,1/21/2012,1/21/2012
bb5801f0-a65a-4f92-b9f8-39c15d8d1378,51d0ed84-7356-4337-ae86-28f717623165,11/15/2011,11/15/2011,11/15/2011
f9ba35ee-9c5a-4ada-99f7-3b2ee3759c0b,c36e4c62-6721-47e2-86d6-209ebb45c4ae,12/8/2011,12/8/2011,12/8/2011
40324a5a-3489-4daa-9808-3bd7f9e06f5b,ef4165e3-b78c-4cd6-a33d-4b67e0e0bf2e,12/18/2011,12/18/2011,12/18/2011
a96b19d4-b550-47f8-b98c-3c6fb31ca353,9e077426-5f65-4f8c-92a1-99c360150f5f,11/13/2011,11/13/2011,11/13/2011
1317c8c9-d83a-477e-b300-3c9c84a4b72e,6558f7b9-2803-4a9c-90c2-9caae0bbbb77,11/26/2011,11/26/2011,11/26/2011
bb318e94-8da6-4e5a-8c6b-3edbba95ba26,6104035d-ae8f-4346-bbf1-07a34b439747,12/10/2011,12/10/2011,12/10/2011
3183b080-2b12-48d6-bc60-436c681728bf,64809448-c746-4dad-ac7f-a6d4b5122475,1/8/2012,1/8/2012,1/8/2012
2c993989-0fc4-4a28-9580-4484de5ece44,8c3b2a74-4297-4261-8be6-4cd91d5574f5,11/16/2011,11/16/2011,11/16/2011
bdae027f-6424-4fb2-815f-4d6fd30a59ad,385da697-ea5c-46a7-a697-466018b403ff,11/30/2011,11/30/2011,11/30/2011
1da4e754-fecc-41dd-ab6a-4e0dafbee9db,aff0db7e-7962-4390-86a5-4590e9f05f6e,12/18/2011,12/18/2011,12/18/2011
7459d888-a701-4775-b895-4f148051affb,efe58b9a-e5ff-4fff-9280-dd4d654ecd1f,11/13/2011,11/13/2011,11/13/2011
756aeb2d-898e-4bac-a7a4-4fd687eda76f,fc93843b-ec9e-4d88-8fff-e09e7386fb91,1/28/2012,1/28/2012,1/28/2012
e011a158-318b-439e-939b-4fd8e37e1114,3a584be9-79e0-455d-bcce-9e3026ee092d,11/13/2011,11/16/2011,11/16/2011
0e573bf4-d93c-42cf-b8b1-52b15d9f7de7,b8236d19-1794-457d-be74-a8a7ed67ddf5,11/26/2011,11/27/2011,11/27/2011
aa0810c7-2ce8-451a-bafe-549f8406d7b2,2d939f65-0b09-4821-93e2-5b76346f0f31,3/10/2012,3/19/2012,3/19/2012
db7b723c-5533-4c3e-8cd5-56b87008f87c,77fbc613-3497-43d9-82e9-bf085662fd19,2/20/2012,2/20/2012,2/20/2012
